Input Tone (MHz),Channel 199 Power,Channel 200 Power,Channel 201 Power,Channel 199 avg,Channel 200 avg,Channel 201 avg,Channel 199 Mag,Channel 200 Mag,Channel 201 Mag,Channel 199 Mag (Normalized),Channel 200 Mag (Normalized),Channel 201 Mag (Normalized)
99,37596.57848,11432.27583,11452.05568,375.9657848,114.3227583,114.5205568,25.75148323,20.58132694,20.58883451,-3.432740934,-8.602897223,-8.595389657
99.05,55832.54824,11586.17094,11581.85303,558.3254824,115.8617094,115.8185303,27.4688745,20.63939932,20.6377805,-1.715349669,-8.54482485,-8.546443671
99.1,69846.92412,11562.60233,11593.07048,698.4692412,115.6260233,115.9307048,28.44147286,20.63055589,20.64198476,-0.742751311,-8.553668273,-8.542239405
99.15,78201.43049,11553.04953,11539.96221,782.0143049,115.5304953,115.3996221,28.93214697,20.62696635,20.62204387,-0.252077193,-8.557257813,-8.5621803
99.2,81444.39963,11589.01358,11564.65466,814.4439963,115.8901358,115.6465466,29.10861226,20.64046472,20.63132668,-0.075611905,-8.54375945,-8.552897483
99.25,81426.00984,11567.87764,11608.95926,814.2600984,115.6787764,116.0895926,29.10763153,20.63253686,20.64793287,-0.076592633,-8.551687307,-8.536291296
99.3,81959.7876,11596.04458,11579.63946,819.597876,115.9604458,115.7963946,29.13600824,20.64309876,20.63695037,-0.048215925,-8.541125403,-8.547273793
99.35,82062.9958,11732.41321,11573.34437,820.629958,117.3241321,115.7334437,29.14147367,20.6938735,20.63458876,-0.042750494,-8.490350666,-8.549635407
99.4,82100.07398,13460.90246,11557.89059,821.0007398,134.6090246,115.5789059,29.14343548,21.29074177,20.62878579,-0.040788683,-7.893482395,-8.555438377
99.45,81879.84488,21666.30787,11562.43373,818.7984488,216.6630787,115.6243373,29.13177011,23.3578491,20.63049257,-0.052454055,-5.826375067,-8.553731601
99.5,81741.69267,37696.17826,11564.49161,817.4169267,376.9617826,115.6449161,29.12443627,25.76297323,20.63126546,-0.059787901,-3.421250942,-8.552958712
99.55,81901.70058,55527.58758,11548.89161,819.0170058,555.2758758,115.4889161,29.13292919,27.44508806,20.62540305,-0.051294973,-1.73913611,-8.558821114
99.6,82145.33482,69829.86514,11584.95356,821.4533482,698.2986514,115.8495356,29.14582904,28.44041203,20.63894297,-0.038395126,-0.743812134,-8.545281197
99.65,82216.68448,78202.81176,11555.92527,822.1668448,782.0281176,115.5592527,29.14959959,28.93222368,20.62804725,-0.034624575,-0.252000484,-8.556176919
99.7,82177.4504,81450.50469,11578.28962,821.774504,814.5050469,115.7828962,29.14752663,29.1089378,20.63644409,-0.036697538,-0.075286371,-8.547780078
99.75,82226.48474,81956.01932,11629.48615,822.2648474,819.5601932,116.2948615,29.15011724,29.13580856,20.65560526,-0.034106926,-0.048415606,-8.52861891
99.8,82197.09998,81948.79858,11556.33699,821.9709998,819.4879858,115.5633699,29.14856495,29.13542591,20.62820198,-0.035659213,-0.048798258,-8.556022191
99.85,78688.7164,82154.90085,11765.95905,786.887164,821.5490085,117.6595905,28.95912461,29.14633476,20.70627333,-0.225099557,-0.037889408,-8.47795084
99.9,70441.6448,82151.62235,13489.77231,704.416448,821.5162235,134.8977231,28.47829488,29.14616144,21.30004619,-0.705929286,-0.038062723,-7.884177972
99.95,56005.09635,81996.45685,21975.55782,560.0509635,819.9645685,219.7555782,27.48227549,29.13795086,23.41939908,-1.70194868,-0.046273302,-5.764825088
100,38220.56772,81839.46542,38005.99574,382.2056772,818.3946542,380.0599574,25.82297134,29.12962784,25.79852115,-3.361252831,-0.054596329,-3.385703014
100.05,21995.75874,82053.95609,55959.72034,219.9575874,820.5395609,559.5972034,23.42338948,29.14099525,27.47875535,-5.760834691,-0.043228921,-1.705468812
